id,title,status,created,updated,tags,source_id,chapter,page,kindle_location,screenshot_file,evidence_category,confidence,claim,summary,evidence_note,limitations,creative_use,people,events,places,organizations,themes,related_fact_cards,related_questions,type,source_title,statement,source_note,japanese_note,cautions,verification_needed
"FACT_MEXEMP_2400","The escape route was planned through Sierra Gorda and Veracruz","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","primary_testimony","probable","逃亡計画では、Sierra Gordaへ入り、海岸へ向かい、帝政側支配下にあったVeracruzからオーストリア船で欧州へ脱出する構想だった。","逃亡計画では、Sierra Gordaへ入り、海岸へ向かい、帝政側支配下にあったVeracruzからオーストリア船で欧州へ脱出する構想だった。","Source note: Route through Sierra Gorda and Veracruz. Japanese note: 逃亡計画の地理的構成。","Cautions: Veracruzの支配状況と船の存在は別途確認。 Verification needed: yes.","地図・追跡劇・山地逃亡の構成に使える。","Maximilian; Felix Salm-Salm","Salm-Salm escape plan","Sierra Gorda; Veracruz; Europe","Mexican Empire; Austrian ship","逃亡経路; 帝政残存支配地; 海上脱出","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","逃亡計画では、Sierra Gordaへ入り、海岸へ向かい、帝政側支配下にあったVeracruzからオーストリア船で欧州へ脱出する構想だった。","Route through Sierra Gorda and Veracruz.","逃亡計画の地理的構成。","Veracruzの支配状況と船の存在は別途確認。","yes"
"FACT_MEXEMP_2401","A cavalry guard commander also had to be bribed","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","primary_testimony","probable","買収された士官は、逃亡を成功させるには騎兵警備隊の指揮官も買収する必要があると述べ、Salm-Salmは追加の金銭を提示し、Maximilianは信用証書に署名した。","買収された士官は、逃亡を成功させるには騎兵警備隊の指揮官も買収する必要があると述べ、Salm-Salmは追加の金銭を提示し、Maximilianは信用証書に署名した。","Source note: A cavalry guard commander had to be won over. Japanese note: 逃亡計画が複数の警備関係者の協力を要した。","Cautions: 金額・信用証書の一次資料確認が必要。 Verification needed: yes.","計画の脆弱性と危うさを描ける。","Felix Salm-Salm; Maximilian","Salm-Salm escape plan","Querétaro","republican army","買収; 軍規; 逃亡","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","買収された士官は、逃亡を成功させるには騎兵警備隊の指揮官も買収する必要があると述べ、Salm-Salmは追加の金銭を提示し、Maximilianは信用証書に署名した。","A cavalry guard commander had to be won over.","逃亡計画が複数の警備関係者の協力を要した。","金額・信用証書の一次資料確認が必要。","yes"
"FACT_MEXEMP_2402","The escape was set for the night of June 2","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","primary_testimony","probable","6月2日午後早く、Salm-SalmはMaximilianと確認し、同夜に逃亡を実行する予定だった。","6月2日午後早く、Salm-SalmはMaximilianと確認し、同夜に逃亡を実行する予定だった。","Source note: Escape was planned for the night of June 2. Japanese note: 逃亡計画の実行予定日。","Cautions: 実際に中止された理由は次ページ以降確認。 Verification needed: yes.","Agnesの裁判延期成功との時間的衝突を描ける。","Felix Salm-Salm; Maximilian; Mejía; Miramón","Salm-Salm escape plan","Querétaro","Mexican Empire","逃亡計画; 裁判延期; 危機","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","6月2日午後早く、Salm-SalmはMaximilianと確認し、同夜に逃亡を実行する予定だった。","Escape was planned for the night of June 2.","逃亡計画の実行予定日。","実際に中止された理由は次ページ以降確認。","yes"
"FACT_MEXEMP_2403","Díaz received telegrams for Maximilian’s lawyers and Baron von Magnus","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","historical_fact","probable","Mexico City郊外で、Porfirio DíazはMaximilianが指名した2人の弁護士とPrussian diplomatのBaron Anton von Magnus宛ての電報を受け取った。","Mexico City郊外で、Porfirio DíazはMaximilianが指名した2人の弁護士とPrussian diplomatのBaron Anton von Magnus宛ての電報を受け取った。","Source note: Telegrams were addressed to lawyers and von Magnus. Japanese note: 弁護人・外交官招致の具体経路。","Cautions: 「一週間前」がどの日付を指すかは文脈確認が必要。 Verification needed: yes.","包囲下の通信遅延を描ける。","Porfirio Díaz; Maximilian; Baron Anton von Magnus","Trial of Maximilian; Siege of Mexico City","Mexico City; Querétaro","republican army; Prussian diplomatic mission","電報; 弁護準備; 外交官","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","Mexico City郊外で、Porfirio DíazはMaximilianが指名した2人の弁護士とPrussian diplomatのBaron Anton von Magnus宛ての電報を受け取った。","Telegrams were addressed to lawyers and von Magnus.","弁護人・外交官招致の具体経路。","「一週間前」がどの日付を指すかは文脈確認が必要。","yes"
"FACT_MEXEMP_2404","Díaz held the telegram for four days","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","historical_fact","probable","Díazは、包囲下のMexico Cityへどう届けるか判断できず、電報を4日間保持した。","Díazは、包囲下のMexico Cityへどう届けるか判断できず、電報を4日間保持した。","Source note: Díaz held the telegram for four days. Japanese note: 弁護準備が遅れた一因。","Cautions: Díazの意図を妨害と断定しない。 Verification needed: yes.","包囲戦下の連絡困難として使える。","Porfirio Díaz","Siege of Mexico City; Trial of Maximilian","Mexico City","republican army","通信; 包囲戦; 手続遅延","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","Díazは、包囲下のMexico Cityへどう届けるか判断できず、電報を4日間保持した。","Díaz held the telegram for four days.","弁護準備が遅れた一因。","Díazの意図を妨害と断定しない。","yes"
"FACT_MEXEMP_2405","Márquez blocked diplomats and lawyers from leaving Mexico City","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","author_interpretation","probable","MárquezはMaximilianが拘禁されていることを内心では知りながら、公には否定し、外交官や弁護士がMexico Cityを出ることを妨げた。","MárquezはMaximilianが拘禁されていることを内心では知りながら、公には否定し、外交官や弁護士がMexico Cityを出ることを妨げた。","Source note: Márquez publicly denied Maximilian was imprisoned. Japanese note: Márquezの行動は「裏切り」評価と接続する。","Cautions: Márquezの内心認識は著者整理・証言依存の可能性がある。 Verification needed: yes.","帝政内部崩壊・情報統制の素材。","Leonardo Márquez; Maximilian; Augustin Fischer","Trial of Maximilian; Siege of Mexico City","Mexico City; Querétaro","Mexican Empire","情報操作; 帝政内部対立; 弁護妨害","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","MárquezはMaximilianが拘禁されていることを内心では知りながら、公には否定し、外交官や弁護士がMexico Cityを出ることを妨げた。","Márquez publicly denied Maximilian was imprisoned.","Márquezの行動は「裏切り」評価と接続する。","Márquezの内心認識は著者整理・証言依存の可能性がある。","yes"
"FACT_MEXEMP_2406","Fischer pleaded for the lawyers to defend Maximilian","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","primary_testimony","probable","Augustin FischerはMárquezに対し、弁護士がMaximilianを弁護できるよう通行を認めるよう求めたが、Márquezは当初拒否した。","Augustin FischerはMárquezに対し、弁護士がMaximilianを弁護できるよう通行を認めるよう求めたが、Márquezは当初拒否した。","Source note: Fischer pleaded for the lawyers’ passage. Japanese note: Fischerが助命・弁護側で動いた場面。","Cautions: Fischerの自己弁護的証言の可能性も要検討。 Verification needed: yes.","Fischerの人物造形に使える。","Augustin Fischer; Leonardo Márquez; Maximilian","Trial of Maximilian","Mexico City; Querétaro","Mexican Empire","弁護権; 帝政内部対立; Fischer","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","Augustin FischerはMárquezに対し、弁護士がMaximilianを弁護できるよう通行を認めるよう求めたが、Márquezは当初拒否した。","Fischer pleaded for the lawyers’ passage.","Fischerが助命・弁護側で動いた場面。","Fischerの自己弁護的証言の可能性も要検討。","yes"
"FACT_MEXEMP_2407","Márquez allowed diplomats and lawyers through after pressure","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","primary_testimony","probable","Márquezは、Maximilian拘禁を市民に暴露すると脅され、最終的に外交官と弁護士がDíazの包囲線を通過することを認めた。","Márquezは、Maximilian拘禁を市民に暴露すると脅され、最終的に外交官と弁護士がDíazの包囲線を通過することを認めた。","Source note: Diplomats and lawyers were allowed through Díaz’s lines. Japanese note: 弁護側の通過許可に至る経緯。","Cautions: 脅しの内容と効果は証言源確認が必要。 Verification needed: yes.","閉塞する首都からの危険な脱出行として使える。","Leonardo Márquez; Porfirio Díaz; Maximilian","Trial of Maximilian; Siege of Mexico City","Mexico City; Querétaro","Mexican Empire; republican army; Belgian representatives; Austrian representatives","外交官; 弁護士; 包囲線通過","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","Márquezは、Maximilian拘禁を市民に暴露すると脅され、最終的に外交官と弁護士がDíazの包囲線を通過することを認めた。","Diplomats and lawyers were allowed through Díaz’s lines.","弁護側の通過許可に至る経緯。","脅しの内容と効果は証言源確認が必要。","yes"
"FACT_MEXEMP_2408","Dano sent Antoine Forest instead of going himself","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","historical_fact","probable","Alphonse DanoはQuerétaro行きを申し出たが、フランス人の存在はMaximilianの弁護に不利と判断され、代わりにformer consulのAntoine Forestを非公式使節として派遣した。","Alphonse DanoはQuerétaro行きを申し出たが、フランス人の存在はMaximilianの弁護に不利と判断され、代わりにformer consulのAntoine Forestを非公式使節として派遣した。","Source note: Dano sent Antoine Forest as an unofficial envoy. Japanese note: フランスの露骨な関与が逆効果と見られた。","Cautions: Forestの身分・任務内容は要確認。 Verification needed: yes.","フランス介入の政治的毒性を示せる。","Alphonse Dano; Antoine Forest; Maximilian","Trial of Maximilian; international appeals for clemency","Querétaro","French diplomatic mission; French Empire","フランス干渉; 弁護戦略; 非公式使節","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","Alphonse DanoはQuerétaro行きを申し出たが、フランス人の存在はMaximilianの弁護に不利と判断され、代わりにformer consulのAntoine Forestを非公式使節として派遣した。","Dano sent Antoine Forest as an unofficial envoy.","フランスの露骨な関与が逆効果と見られた。","Forestの身分・任務内容は要確認。","yes"
"FACT_MEXEMP_2409","European and Belgian representatives moved toward the Mexico City perimeter on June 1","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","historical_fact","probable","6月1日、欧州の主要君主国の代表者とベルギー代表は、Maximilian救援のためMexico City防衛線の外縁へ向かった。","6月1日、欧州の主要君主国の代表者とベルギー代表は、Maximilian救援のためMexico City防衛線の外縁へ向かった。","Source note: Representatives moved on June 1. Japanese note: 欧州側助命外交が現地で動き出した。","Cautions: 代表者の国・氏名は別途整理が必要。 Verification needed: yes.","「ハプスブルク救出」の国際劇として使える。","Maximilian; Baron Anton von Magnus; Antoine Forest","Trial of Maximilian; international appeals for clemency","Mexico City; Querétaro","European monarchies; Belgian representatives; Prussian legation","国際助命運動; 君主外交; 包囲線","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","6月1日、欧州の主要君主国の代表者とベルギー代表は、Maximilian救援のためMexico City防衛線の外縁へ向かった。","Representatives moved on June 1.","欧州側助命外交が現地で動き出した。","代表者の国・氏名は別途整理が必要。","yes"
"FACT_MEXEMP_2410","Republican artillery fired when starving citizens tried to leave with the diplomats","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","historical_fact","probable","飢えた市民多数が外交官らとともにMexico Cityを脱出しようとした際、共和派砲兵はその群衆を歩兵攻撃と誤認して砲撃したとShawcrossは述べる。","飢えた市民多数が外交官らとともにMexico Cityを脱出しようとした際、共和派砲兵はその群衆を歩兵攻撃と誤認して砲撃したとShawcrossは述べる。","Source note: Republican artillery mistook the crowd for an assault. Japanese note: 包囲下の市民飢餓と軍事的誤認の場面。","Cautions: 共和派を一方的に残虐化せず、包囲戦下の誤認・戦術状況を確認する。 Verification needed: yes.","首都包囲の混乱・市民苦境を描ける。","Porfirio Díaz","Siege of Mexico City; international appeals for clemency","Mexico City","republican artillery; republican army; Prussian legation","市民被害; 包囲戦; 誤認砲撃","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","飢えた市民多数が外交官らとともにMexico Cityを脱出しようとした際、共和派砲兵はその群衆を歩兵攻撃と誤認して砲撃したとShawcrossは述べる。","Republican artillery mistook the crowd for an assault.","包囲下の市民飢餓と軍事的誤認の場面。","共和派を一方的に残虐化せず、包囲戦下の誤認・戦術状況を確認する。","yes"
